Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum,Linkedin
2150,https://www.2150.vc/,"London, UK","UK,USA,Denmark,Finland,Germany,France,Sweden,Spain","4. Scaling,3. Early Revenue,5. Growth","We invest in technology companies that seek to sustainably reimagine and reshape the urban environment. 2150’s investment thesis focuses on major unsolved problems across what it calls the ‘Urban Stack’, which comprises every element of the built environment, from the way our cities are designed, constructed and powered, to the way people live, work and are cared for.
",VC,"$1,000,000","$7,000,000",https://www.linkedin.com/company/2150vc
A-Venture,https://a-venture.eu/en/,33 avenue Foch 75116 Paris,"France,Luxembourg,Germany","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in French, Luxembourgish and German startups, operating in the environment, mobility and hospitality sectors.",VC,"$30,000","$1,000,000",https://www.linkedin.com/company/pole-capital
Abstraction Capital,https://abstraction.vc,"9237 Ward Parkway, Kansas City, MO",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in pre-seed and seed rounds for companies building products in the developer tool and cloud infrastructure space.,VC,"$50,000","$400,000",https://www.linkedin.com/company/abstraction-capital
Acronym Venture Capital,https://acronymvc.com/,"16590 Germaine Dr, Delray Beach, FL 33446","USA,Canada","3. Early Revenue,4. Scaling","We invest in Late Seed and Series A venture capital financing rounds of software/internet/tech companies. We invest primarily into Enterprise Saas companies, Fintech, Hospitality Tech, Real Estate / PropTech, Workflow Tech, E-commerce, and Omni Channel Consumer Brands. Companies must have at least $1m in ARR. ",VC,"$350,000","$3,000,000",https://www.linkedin.com/company/acronymvc
Active Impact Investments,https://www.activeimpactinvestments.com/,"402-106 West 1st Street,  North Vancouver, BC  V7M 2E7, Canada","USA,Canada","4. Scaling,3. Early Revenue","We invest in seed stage companies companies facilitating the transition from finite to infinite sources of energy, food, water & products. ",VC,"$500,000","$1,500,000",https://www.linkedin.com/company/activeimpactinvestments/
Acton Capital,https://actoncapital.com/,"Widenmayerstrasse 29, Munich, 80538, DE","Germany,UK,Sweden,Canada,France,Spain,USA","3. Early Revenue,4. Scaling,5. Growth",We invest with a clear focus on tech-enabled business models throughout Europe and North America – B2C or B2B – around Series A/B.,VC,"$3,000,000","$12,000,000",https://www.linkedin.com/company/acton-capital-partners/
Adelie Capital,https://adelie.vc/,"8 place de l'Opéra, 75009 Paris, France","France,UK,Germany,Switzerland,Spain,Italy,Belgium","3. Early Revenue,4. Scaling,5. Growth","We invest in fast-growing European tech companies powered by ambitious teams and with a great potential for scalability. We are sector agnostic: we believe in entrepreneurs, the explorers of the 21st century.",VC,"$500,000","$3,000,000",https://www.linkedin.com/company/adelieadvisors/
Aescuvest,https://www.aescuvest.eu/,"Hanauer Landstraße 328, 60314 Frankfurt am Main, Germany","Germany,Israel,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Denmark,Sweden,Finland,France,Greece,Hungary,Ireland,Norway,Spain,Portugal,Ukraine,UK,Switzerland",3. Early Revenue,"We invest in medical breakthrough innovations in the areas of: digital drug, digital device and digital detection and diagnosis.",VC,"$1,000,000","$5,000,000",https://www.linkedin.com/company/aescuvest-gmbh/
Afore Capital,https://afore.vc,"237 Kearny St, Ste 9225, San Francisco, CA 94108, United States","USA,Canada","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in Pre-Seed and Seed rounds in companies fundamentally augmenting how the future of society will operate. We are anti-thematic by design and hyperfocused on accelerating the 0-to-1 journey.,VC,"$100,000","$1,500,000",https://www.linkedin.com/company/aforecapital
Aletra Capital Partners,https://aletracapitalpartners.com/,"Leemzeulder 14, 1251 AP Laren, Netherlands","Singapore,Netherlands,Canada,USA","3. Early Revenue,4. Scaling,5. Growth",We invest in B2B enterprise/software/medtech companies. The venture should have initial revenue/product market fit (ARR> USD 1Mln) and the potential to scale globally.,VC,"$250,000","$2,500,000",
Alfabeat,https://alfabeat.com/,"Norwida 4, 80-280 Gdańsk, Poland","Poland,Estonia,Latvia,Lithuania,Czech Republic,Slovakia,Hungary,Croatia,Romania,Bulgaria,Slovenia",3. Early Revenue,"We invest in seed Enterprise Software companies from Central and Eastern Europe  with a proven track-record of helping founders raise subsequent rounds, backed by successful Enterprise Software founders who built companies worth over $50B.",VC,"$250,000","$1,000,000",https://www.linkedin.com/company/alfabeat/
Alpaca VC,https://alpaca.vc/,"505 5th Ave, 22nd Floor, New York, NY, 10017","USA,Canada","3. Early Revenue,2. Prototype,1. Idea or Patent,4. Scaling","We invest in Seed rounds in companies reshaping the real world. We prefer to lead. 

We believe that layering technology over daily life transforms how the real world works. So we invest in the people, products and processes that power commerce in the physical world. Together with founders, we kickstart real change with outsized impact. ",VC,"$500,000","$1,300,000",https://www.linkedin.com/company/alpacavc/
Alstin Capital,https://www.alstincapital.de/,"Maximilianstr. 34, 80539 München","Austria,Belgium,Denmark,Estonia,Czech Republic,Finland,France,Germany,Greece,Iceland,Ireland,Italy,Latvia,Liechtenstein,Luxembourg,Lithuania,Netherlands,Norway,Poland,Portugal,Spain,Switzerland,Ukraine,Israel,UK,Romania,Hungary,Slovakia,Serbia","4. Scaling,5. Growth","We invest in rapidly growing technology companies that have the potential to leverage the significant market potential of the future and become market leaders. We do not solely invest in convincing technology, but above all in the entrepreneurs behind the technology. We support our entrepreneurs with capital and know-how so that they can grow faster and more successfully. The basis of our investment is the conviction that entrepreneurial know-how, long-term transaction experience, international networks, and commercial excellence are the success factors for long-term growth. ",VC,"$1,200,000","$5,980,000",https://www.linkedin.com/company/alstincapital
Alter Equity,https://www.alter-equity.com/,"23 Rue Danielle Casanova, 75001 Paris",France,"3. Early Revenue,4. Scaling","We invest in companies whose activity contributes to resolving environmental challenges (energy efficiency and transition, circular economy, recycling, air, water and soil quality, green chemistry, organic products, biodiversity, etc.) or social challenges (education, training, employability, culture, services to vulnerable people, health, well-being, organic products, fair-trade, etc.) and commit to an ESG business plan which is an action plan to promote more responsible social, environmental and governance practices.

We invest in companies having realised at least €800k revenue over the last 12 months.

We take a Minority or majority stakes, from €1m to €30m.",VC,"$1,000,000","$30,000,000",https://www.linkedin.com/company/alter-equity/
Alven,https://www.alven.co/,"124 rue Réaumur, Paris, Ile de France 75002, FR","France,USA,Belgium,Germany,Netherlands,Sweden,Denmark,Finland,Italy,Spain,Portugal,Poland,Estonia","3. Early Revenue,4. Scaling,2. Prototype","We invest in software-enabled startups based in Europe or in the US, looking to define or create a category.",VC,"$500,000","$15,000,000",https://www.linkedin.com/company/alven-vc/
American Family Ventures,https://www.amfamventures.com/,"New York, NY US",USA,3. Early Revenue,We invest in InsurTech,VC,"$500,000","$10,000,000",https://www.linkedin.com/company/american-family-ventures/
AMG Block,https://www.amgblock.com/,"Av Revolucion 1267, Mexico City, Mexico City 01010, MX","Mexico,Colombia,Peru,Chile,Argentina","2. Prototype,3. Early Revenue",We invest in fintech companies in Mexico and spanish-speaking Latin America.,VC,"$50,000","$250,000",https://www.linkedin.com/company/amgblock
Amplitude Ventures,https://amplitudevc.com/en,"Espace CDPQ 3, Place Ville-Marie Suite 12350 Montreal, QC H3B 0E7",Canada,"2. Prototype,4. Scaling,5. Growth,6. Pre-IPO",We invest in precision medicine companies that are leveraging data and new scientific insights to give the right treatment to the right patient at the right time. Primarily focused on investing in Canada but open to later-stage opportunities elsewhere.,VC,"$1,000,000","$10,000,000",https://www.linkedin.com/company/amplitude-ventures
Anaxago,https://www.anaxago.com/,"18 rue Sainte-Foy, 75002, Paris","France,Belgium,Spain,Portugal,UK,Italy,Germany,Luxembourg","4. Scaling,5. Growth,3. Early Revenue","We invest in Healthcare (Medtech or Biotech), Proptech and Fintech companies with at least 40k€ MRR (excl. Biotech).",VC,"$500,000","$3,000,000",https://www.linkedin.com/company/anaxago/
AnD Ventures,https://www.and-ventures.com/,"Arik Einstein St 3, Herzliya, Israel",Israel,"3. Early Revenue,4. Scaling","We invest in early-stage Israel-based/Israeli-led startups developing innovative and technologically advanced solutions, validated by our broad enterprise network.",VC,"$500,000","$1,500,000",https://www.linkedin.com/company/and-ventures/
Angels' Bay Invest,https://angelsbay.net/,"c/o Data ScienceTech Institute Les Templiers 950 Route des Colles, Sophia-Antipolis 06410 Biot, France",France,"2. Prototype,3. Early Revenue,4. Scaling","We invest in young innovative French start-ups with an international ambition. We are looking for companies, mainly in B2B, which are solving key issues for businesses, environnement, or the society. We invest from $70k to $150k at early stage.",Angel network,"$70,000","$150,000",https://www.linkedin.com/groups/12109979/
Angelsquare Capital,https://angelsquare.co/capital/,90 Rue Notre Dame de Nazareth 75003 Paris,France,"2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in pre-seed and seed stages - all sectors, focused on French Entrepreneurs :)
We can leverage our tickets with our serial-BAs network through a SPV",Angel network,"$50,000","$500,000",https://www.linkedin.com/company/angelsquare/
Angular Ventures,https://www.angularventures.com/,"4 Hashla Street, Tel Aviv Yafo, Tel Aviv 6228304, IL","Israel,UK,Germany,France,Netherlands,Spain,Sweden,Ireland,Austria,Estonia,Romania,Poland,Belgium,Croatia,Greece,Norway,Slovakia,Serbia,Slovenia","3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in early-stage Enterprise, B2B or deep tech founders.",VC,"$250,000","$2,000,000",https://www.linkedin.com/company/angularventures/
Antler,https://www.antler.co/,"79 Anson Rd, #20-1, Central Business District, Singapore 07, SG","USA,Singapore,Australia,India,Germany,China,Netherlands,Sweden,Norway,UK,Denmark,Kenya","2. Prototype,1. Idea or Patent",We invest in pre-revenue startups.,VC,"$100,000","$100,000",https://www.linkedin.com/company/antlerglobal/
Aonia Ventures,http://www.aonia.vc/,"3 ruelle des templiers, 1207 GENEVA","France,Canada,Germany,UK","3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in tech companies all over the world, in early-stage with tickets from $150k to $300k",VC,"$150,000","$300,000",https://www.linkedin.com/company/aonia-ventures/
Arali Ventures,https://araliventures.in/,"3rd floor, excubator Building, 19th Main, HSR, Bangalore ","India,USA,Singapore,Norway","2. Prototype,3. Early Revenue,1. Idea or Patent",We invest in Indian origin/ indian founder startups at prototype stage solving enterprise problems using new-age tech ,VC,"$500,000","$1,000,000",https://www.linkedin.com/company/araliventures
Arc Ventures,https://arc-vc.com/,"655 3rd Ave, New York, NY 10017, United States",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,6. Pre-IPO","We invest in US-based Enterprise SaaS, deep-tech, fin-tech, and prop-tech companies.",VC,"$500,000","$2,500,000",https://www.linkedin.com/company/arc-vc/
Arrebol Capital,https://arrebolcap.com/,"Los Gatos, CA, USA","Colombia,Brazil,Mexico,Argentina,Chile,Peru,Uruguay","3. Early Revenue,4. Scaling","We invest in seed stage / series A startups using technology to target the LatAm market. Our main areas of focus are Fintech and Logistics, but we also invest in other verticals where there is empiric evidence of market fit and a proven business model in other geographies.",VC,"$25,000","$250,000",https://www.linkedin.com/company/arrebol-capital
Artesian,https://www.artesianinvest.com/overview-vc,"66 Hunter St, Sydney, New South Wales 2000, AU","Australia,China,New Zealand,Indonesia,Singapore","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in startups operating in Australia, New Zealand, South East Asia, and China.

Artesian trusts in math, not magic. We recognize there are multiple paths to startup success. Capital-lite startups exiting to corporates at <$250M are as important to our investment strategy as $1B+ unicorns targeting world domination.
 
Artesian invests in software and hardware startups with an overweight exposure (~50% of total FUM) in 4 key sectors: Agrifood, Clean Energy, MedTech, and AI/Robotics. We also provide our Venture Capital as a Service platform to corporations, industry groups, family offices, and government organizations.

Although Artesian is the region’s most active early-stage VC investor (>500 startup investments), we are equally active in late-stage VC investments as any of our traditional VC peers.",VC,"$50,000","$1,000,000",https://www.linkedin.com/company/artesian-capital-management/
Asif Ventures,https://asif.ventures/,"STARTUP VILLAGE, SCIENCE PARK 608, 1098 XH Amsterdam, Netherlands",Netherlands,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in Dutch-based students and recent graduate startups. ,VC,"$25,000","$100,000",https://www.linkedin.com/company/asifventures/
Astella Investimentos,http://astellainvest.com/,"R. Prof. Artur Ramos 241, São Paulo-SP, Brazil",Brazil,"3. Early Revenue,4. Scaling",We invest in Brazil-based entrepreneurs building technology startups.  ,VC,"$500,000","$5,000,000",https://www.linkedin.com/company/astella-investimentos/
Aster Capital,https://www.aster.com/,"26 Avenue de l'Opéra, Paris, 75001, FR","USA,Israel,France,Italy","3. Early Revenue,4. Scaling",We invest in Mobility - Industry 4.0 - B2B SaaS,VC,"$500,000","$5,000,000",https://www.linkedin.com/company/aster-capital/
Astorya,http://astorya.vc/,"Rue de Washington, Paris, Ile de France 75008, FR","France,Germany,UK,Spain,Belgium,Netherlands,Poland,Czech Republic,Estonia,Ukraine,Portugal,Italy,Greece,Ireland,Norway,Sweden,Denmark,Finland,Latvia,Lithuania,Belarus,Slovakia,Slovenia,Hungary,Romania,Bulgaria,Croatia,Switzerland,San Marino,Liechtenstein","3. Early Revenue,1. Idea or Patent,2. Prototype",We invest in insurance-related technologies in Europe to help you get to market faster. #insurtech #fintech #digitalhealth #cybersecurity #mobility #smartcities,VC,"$120,000","$300,000",https://www.linkedin.com/company/astorya-vc
Atento Capital,https://www.atentocapital.com/,"107 N Boulder Ave Ste. A, Tulsa, OK 74103, United States",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in Pre-Seed, Seed, and A software companies in Tulsa, Oklahoma, and Series A, B, and C software companies, as well as Seed and A funds not in Tulsa, with the intention of helping them expand to Tulsa.",VC,"$250,000","$3,000,000",https://www.linkedin.com/company/atento-capital/
Atlantic Labs,https://www.atlanticlabs.de/,"Rosenthalter Str. 13, Berlin, 10119, Germany","Germany,Austria,Switzerland,Sweden","3. Early Revenue,2. Prototype,1. Idea or Patent",We invest in mission-driven founders in Europe.,VC,"$300,000","$1,000,000",https://www.linkedin.com/company/atlantic-labs/
Atlas Ventures (Singapore),http://atlas.ventures/,"80 Raffles Place, #57-01, Singapore, Singapore 048624, SG","Singapore,Thailand,Vietnam,Philippines,Malaysia,Indonesia,USA,Israel,Australia","3. Early Revenue,4. Scaling","We invest in startups within fast-growing, overlooked verticals and geographies. Currently, we're focused on cybersecurity, ecommerce enablers, interactive/ new media, and startups looking to digitize traditional industries.",VC,"$500,000","$5,000,000",https://www.linkedin.com/company/atlas-ventures/
Augmentum Fintech,https://augmentum.vc/,"Morelands Block C, 5 Old St, London EC1V 9HL","UK,Germany,France,Sweden,Spain,Denmark,Finland,Poland","5. Growth,4. Scaling,3. Early Revenue,6. Pre-IPO",We invest in European fintech companies at Series A and beyond.,VC,"$2,000,000","$15,000,000",https://www.linkedin.com/company/augmentum-fintech/
AVP AXA Venture Partners,https://www.axavp.com/,"9 Place de la Madeleine, 75008, Paris, France","France,USA,UK,Israel,Canada,Germany,Spain,Portugal,Switzerland,Norway,Finland,Sweden,Luxembourg,Belgium,Netherlands,Italy,Poland,Latvia,Estonia,Ireland,Austria,Hungary,Czech Republic,Greece","3. Early Revenue,4. Scaling,5. Growth","We invest in software companies (Enterprise software, Digital Health, Fintech, Insurtech, B2C marketplaces) that are typically at Series A stage or above. 

We are a cross-stage and cross-border fund with ticket sizes ranging from US$2m to $50m. 

Our teams are based in London, Paris, New York, San Francisco, and Hong Kong and we invest in the EU, the UK, the US, and Israel.",VC,"$3,000,000","$50,000,000",https://www.linkedin.com/company/axa-sv/
Iterative Venture,https://www.iterativeventure.com/,USA,USA,"3. Early Revenue,4. Scaling",We invest in post-revenue US startups. ,Angel network,"$100,000","$250,000",https://www.linkedin.com/company/iterative-venture/
Backed VC,https://www.backed.vc/,"8 Printing House Yard, London, England E2 7PR, GB",UK,"2. Prototype,3. Early Revenue,4. Scaling,1. Idea or Patent","We invest in founders over markets, so we're mostly sector-agnostic. Investors like to fantasize about the future, but founders forge it. That’s why we’ve followed some of Europe’s boldest entrepreneurs to every frontier from Cellular Agriculture to next-gen Popular Entertainment. We also believe you are your company’s most important asset. This is especially true at Seed. Even at the edges of DeepTech, the people you hire and the culture you foster will disproportionately define your future success. That’s why we focus on helping our founders scale as leaders.",VC,"$250,000","$3,000,000",https://www.linkedin.com/company/backed-vc/
Bankinter VC,https://www.fundacionbankinter.org/en/startups/,"Paseo de la Castellana 29, Madrid, Spain","Spain,Portugal,Ireland","3. Early Revenue,4. Scaling","We invest in Series A rounds from companies based in the countries where the bank has activity (Spain, Portugal, Ireland..).",VC,"$500,000","$1,500,000",https://www.linkedin.com/company/fundacion-innovaci%C3%B3n-bankinter/
BCF Ventures,https://bcfventures.vc/,"1100 Boulevard René-Lévesque O, Montréal, Québec CA","USA,Israel,Canada","3. Early Revenue,4. Scaling","We invest in B2B Cloud & SaaS Enterprise startups leveraging the power of Artificial Intelligence, Big Data, Analytics and Security. While we invest across industries, we have special attention to Finance, Healthcare, Education, Logistics & Supply Chain, Advanced Manufacturing, Transportation, and Aerospace.

We are passionate about disruptive technologies and the business opportunities that these create. We are looking for innovation pioneers challenging the status quo in traditional sectors, or dramatically improving legacy processes. The companies we fund must have some type of key science or technological innovation leading to the development of intellectual property rights. ",Corporate VC,"$50,000","$1,000,000",https://www.linkedin.com/company/bcfventures/
BCVP Bull City Venture Partners,https://www.bcvp.com,201 West Main Street Suite 100 PMB 205  Durham NC 27701,USA,"3. Early Revenue,4. Scaling,5. Growth,2. Prototype","We invest in Software, Internet, Mobile, Health IT and E-Commerce 

We are located in Durham, North Carolina. Because of that, most of the activity we see is in the Southeast and Mid-Atlantic regions. But we will consider any great entrepreneur.

We are seed and early-stage investors and often that means we are the first institutional investor. But when there is an exceptional opportunity, we will be opportunistic and invest in growth-stage companies. ",VC,"$100,000","$5,000,000",https://www.linkedin.com/company/bull-city-venture-partners/
Beacon Capital (UK),https://www.beaconcapital.co.uk/,"London, England W2 6BD , GB","UK,Portugal,Spain,France,Italy,Germany,Belgium,Ireland,Austria,Bulgaria,Croatia,Czech Republic,Denmark,Estonia,Finland,Greece,Hungary,Latvia,Lithuania,Netherlands,Norway,Poland,Romania,Russia,Ukraine,Monaco,Luxembourg,Cyprus,Malta","2. Prototype,3. Early Revenue",We invest in post-Seed / pre-Series A B2B tech startups in Europe.,VC,"$300,000","$1,200,000",https://www.linkedin.com/company/beaconcapital
Begin Capital,https://www.begincl.com/,"London, UK","USA,UK,Germany,France,Spain,Netherlands,Belgium,Poland,Italy,Austria,Ireland,Sweden,Finland,Denmark,Czech Republic,Norway,Switzerland,Hungary,Latvia,Estonia,Lithuania,Canada,Ukraine","3. Early Revenue,4. Scaling,5. Growth","We invest in experienced founders with bold ideas, proven hypothesis and first revenue.",VC,"$200,000","$3,000,000",https://www.linkedin.com/company/begin-capital/
Better Ventures,https://www.better.vc/,"470 25th St, Oakland, CA, 94612",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in pre-seed/seed mission-driven founders leveraging breakthrough science and technology in climate/sustainability, digital health, and education/workforce development. We invest in software, data science, and life sciences, primarily B2B models, and look for technical founders/teams. ",VC,"$250,000","$750,000",https://www.linkedin.com/company/bettervc
BGV Benhamou Global Ventures,https://benhamouglobalventures.com/,"540 Cowper Street, Palo Alto, CA 94301, United States","USA,France,Israel,India",3. Early Revenue,"We invest in Enterprise 4.0, a next generation of Enterprise Software, which are combining 3 main elements: AI, intelligent automation and unique data set. We are 100% focused on cross-border investments, investing in companies that are conceived outside the US and helping them position themselves in the US. Main focus: Future of Work, Vertical AI platforms (focusing on 1 industry such as retail, manufacturing, logistics, insurtech or focusing on 1 function such as Customer Sucess, Sales, etc), e-commerce, DevOps, Cybersecurity",VC,"$250,000","$5,000,000",https://www.linkedin.com/company/benhamou-global-ventures/mycompany/
BGV Bethnal Green Ventures,https://bethnalgreenventures.com,"20-30 Whitechapel Road, London E1 1EW, UK",UK,"3. Early Revenue,2. Prototype",We invest in ambitious teams using technology to tackle social and environmental problems and drive positive outcomes for people and planet at scale. ,VC,"$42,000","$140,000",https://www.linkedin.com/company/bethnal-green-ventures
BIP Capital,https://www.bip-capital.com/,"3575 Piedmont Road NE, Building 15 Suite 730, Atlanta, Georgia 30305, USA","USA,Canada","3. Early Revenue,4. Scaling","We invest at seed and Series A in B2B SaaS, Healthcare IT, Fintech, Digital Media and Entertainment, Developer Tools, and Frontier Tech startups.

At Seed, we like companies to have launched a product, have some users and early revenue.

At Series A we like companies doing $750k+ in ARR.",VC,"$100,000","$10,000,000",https://www.linkedin.com/company/bip-capital/
Black Capital Ventures,https://blackcapitalventures.com,"Copenhagen, Denmark","Norway,Sweden,Denmark,Finland","1. Idea or Patent,2. Prototype",We invest in technology focused startups preferably within deep-tech.,VC,"$100,000","$1,000,000",https://www.linkedin.com/company/blackcapitalventures/
BlackFin Tech,https://www.blackfin-tech.com/,"15 rue de Laborde, 75008 Paris, France","France,Germany,UK,Spain,Denmark,Belgium,Portugal,Austria,Sweden","3. Early Revenue,4. Scaling,5. Growth",We invest in fast growing fintechs and insurtechs in Europe. Accross stages.,VC,"$1,000,000","$30,000,000",https://www.linkedin.com/company/blackfin-capital-partners/
Blisce/,https://blisce.com/,"28 cours Albert 1er, 75008, Paris, France","France,USA,UK,Germany,Netherlands,Sweden,Denmark,Norway,Spain,Italy,Finland",5. Growth,We invest in the future of B2C.,VC,"$10,000,000","$20,000,000",https://www.linkedin.com/company/blisce/
Blu Ventures,https://www.bluventureinvestors.com/,"1577 Spring Hill Rd, Vienna, VA 22182","USA,Canada","3. Early Revenue,4. Scaling",We invest in US/Canada based Enterprise SaaS startups with a focus on security solutions with $100K+ ARR,VC,"$50,000","$1,000,000",https://www.linkedin.com/company/bluventures/
Blue Collective,https://bluecollective.com/,"New York, United States",USA,"2. Prototype,3. Early Revenue,4. Scaling","We invest in pre-Series A companies (Pre-Seed and Seed). We are NOT thesis-driven in the way most VCs are. Our strategy is to invest in great founders in the earliest days of building a company and to invest broadly across industry, category, theme, trend, etc. Great founders at early stage with big ideas - that's our thesis (if we had to write it out)",VC,"$250,000","$2,000,000",https://www.linkedin.com/company/bluecollective
Blue Future Partners,https://www.bfp.vc/,"Waltherstraße 23, Munich, Germany","USA,UK,Israel,Germany,Singapore,Austria","4. Scaling,5. Growth",We invest in enterprise SaaS and Industry 4.0,VC,"$2,000,000","$5,000,000",https://www.linkedin.com/company/bluefp/
Bluesky Equities,http://www.blueskyequities.com/,"150 9 Ave SW, Calgary, Alberta T2P 3H9, CA","Canada,USA,UK,Australia,Germany,Belgium,Spain,France,Switzerland,Norway,Sweden,Denmark,Mexico,China,South Korea,India","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in global B2B technology companies with >$0 ARR.,Family office,"$50,000","$250,000",https://www.linkedin.com/company/bluesky-equities
BlueYard Capital,https://blueyard.com/,"Berlin, Germany","USA,Germany,UK,Netherlands,France,Spain,Portugal,Switzerland,Belgium,Austria,Poland,Sweden,Norway,Finland","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in founders with transformative ideas that decentralize markets and empower humanity.,VC,"$500,000","$5,000,000",https://www.linkedin.com/company/blueyard-capital/
Bowery Capital,https://bowerycap.com/,"37 West 20th Street, New York, NY 10011, US","USA,Canada","2. Prototype,3. Early Revenue,1. Idea or Patent",We invest in seed-stage B2B SaaS and B2B marketplace companies looking to modernize business through technology.,VC,"$750,000","$2,000,000",https://www.linkedin.com/company/bowery-capital
